Wavelength,Intensity
179.38,0.0
179.75,57.0
180.13,53.0
180.51,59.0
180.88,57.0
181.26,56.0
181.64,60.0
182.02,57.0
182.39,53.0
182.77,56.0
183.15,59.0
183.52,54.0
183.90,57.0
184.28,57.0
184.65,56.0
185.03,57.0
185.41,58.0
185.78,59.0
186.16,57.0
186.53,56.0
186.91,59.0
187.29,58.0
187.66,56.0
188.04,52.0
188.42,57.0
188.79,61.0
189.17,61.0
189.55,57.0
189.92,57.0
190.30,65.0
190.67,60.0
191.05,58.0
191.43,55.0
191.80,61.0
192.18,55.0
192.56,59.0
192.93,61.0
193.31,54.0
193.68,56.0
194.06,59.0
194.44,58.0
194.81,60.0
195.19,56.0
195.56,60.0
195.94,59.0
196.32,57.0
196.69,57.0
197.07,59.0
197.44,56.0
197.82,59.0
198.19,54.0
198.57,58.0
198.95,58.0
199.32,53.0
199.70,57.0
200.07,58.0
200.45,58.0
200.82,57.0
201.20,57.0
201.57,57.0
201.95,65.0
202.33,59.0
202.70,58.0
203.08,53.0
203.45,50.0
203.83,60.0
204.20,62.0
204.58,60.0
204.95,61.0
205.33,63.0
205.70,58.0
206.08,57.0
206.45,56.0
206.83,56.0
207.20,56.0
207.58,57.0
207.95,53.0
208.33,55.0
208.70,57.0
209.08,57.0
209.45,54.0
209.83,57.0
210.20,55.0
210.58,57.0
210.95,58.0
211.33,56.0
211.70,57.0
212.08,61.0
212.45,64.0
212.83,59.0
213.20,54.0
213.58,57.0
213.95,57.0
214.33,61.0
214.70,64.0
215.07,59.0
215.45,58.0
215.82,56.0
216.20,65.0
216.57,59.0
216.95,59.0
217.32,57.0
217.70,58.0
218.07,57.0
218.44,60.0
218.82,59.0
219.19,59.0
219.57,57.0
219.94,59.0
220.32,56.0
220.69,57.0
221.06,57.0
221.44,52.0
221.81,58.0
222.19,57.0
222.56,61.0
222.93,64.0
223.31,57.0
223.68,56.0
224.06,52.0
224.43,52.0
224.80,57.0
225.18,58.0
225.55,58.0
225.92,60.0
226.30,56.0
226.67,59.0
227.05,56.0
227.42,57.0
227.79,55.0
228.17,56.0
228.54,60.0
228.91,59.0
229.29,56.0
229.66,61.0
230.03,58.0
230.41,57.0
230.78,54.0
231.15,61.0
231.53,59.0
231.90,55.0
232.27,59.0
232.65,60.0
233.02,59.0
233.39,59.0
233.77,63.0
234.14,62.0
234.51,55.0
234.89,57.0
235.26,54.0
235.63,57.0
236.01,56.0
236.38,58.0
236.75,57.0
237.12,58.0
237.50,56.0
237.87,61.0
238.24,56.0
238.62,56.0
238.99,54.0
239.36,60.0
239.73,58.0
240.11,59.0
240.48,55.0
240.85,56.0
241.23,63.0
241.60,59.0
241.97,58.0
242.34,59.0
242.72,58.0
243.09,61.0
243.46,60.0
243.83,59.0
244.21,59.0
244.58,59.0
244.95,56.0
245.32,59.0
245.70,57.0
246.07,59.0
246.44,59.0
246.81,60.0
247.18,58.0
247.56,62.0
247.93,60.0
248.30,55.0
248.67,61.0
249.04,58.0
249.42,63.0
249.79,55.0
250.16,56.0
250.53,59.0
250.90,58.0
251.28,60.0
251.65,58.0
252.02,54.0
252.39,57.0
252.76,61.0
253.14,58.0
253.51,61.0
253.88,57.0
254.25,59.0
254.62,55.0
254.99,56.0
255.37,60.0
255.74,59.0
256.11,60.0
256.48,58.0
256.85,63.0
257.22,60.0
257.59,60.0
257.97,59.0
258.34,59.0
258.71,60.0
259.08,62.0
259.45,58.0
259.82,54.0
260.19,60.0
260.56,60.0
260.94,56.0
261.31,63.0
261.68,63.0
262.05,57.0
262.42,58.0
262.79,62.0
263.16,61.0
263.53,61.0
263.90,66.0
264.28,65.0
264.65,60.0
265.02,62.0
265.39,67.0
265.76,61.0
266.13,59.0
266.50,65.0
266.87,67.0
267.24,63.0
267.61,62.0
267.98,66.0
268.35,68.0
268.72,65.0
269.09,65.0
269.46,61.0
269.84,58.0
270.21,64.0
270.58,62.0
270.95,63.0
