Wavelength,Intensity
200.60,0.0
201.20,67.0
201.80,62.0
202.40,67.0
203.00,72.0
203.60,67.0
204.20,66.0
204.80,68.0
205.40,67.0
206.00,67.0
206.60,64.0
207.20,63.0
207.80,69.0
208.40,69.0
209.00,70.0
209.60,63.0
210.20,69.0
210.80,69.0
211.40,65.0
212.00,67.0
212.60,70.0
213.20,73.0
213.80,63.0
214.40,70.0
215.00,67.0
215.60,67.0
216.20,68.0
216.80,67.0
217.40,68.0
218.00,70.0
218.60,69.0
219.20,67.0
219.80,71.0
220.40,68.0
221.00,67.0
221.60,71.0
222.20,69.0
222.80,71.0
223.40,71.0
224.00,69.0
224.60,70.0
225.20,69.0
225.80,69.0
226.40,65.0
227.00,65.0
227.60,62.0
228.20,69.0
228.80,69.0
229.40,71.0
230.00,71.0
230.60,66.0
231.20,66.0
231.80,66.0
232.39,64.0
232.99,68.0
233.59,71.0
234.19,67.0
234.79,70.0
235.39,70.0
235.99,69.0
236.59,71.0
237.19,75.0
237.79,70.0
238.39,68.0
238.99,70.0
239.59,72.0
240.19,67.0
240.79,66.0
241.39,71.0
241.99,69.0
242.59,70.0
243.19,66.0
243.79,70.0
244.39,70.0
244.99,72.0
245.59,70.0
246.19,69.0
246.79,71.0
247.39,70.0
247.99,73.0
248.59,66.0
249.19,67.0
249.79,68.0
250.39,68.0
250.99,68.0
251.59,67.0
252.19,70.0
252.79,71.0
253.39,70.0
253.99,69.0
254.58,72.0
255.18,72.0
255.78,68.0
256.38,70.0
256.98,70.0
257.58,68.0
258.18,67.0
258.78,66.0
259.38,71.0
259.98,70.0
260.58,69.0
261.18,70.0
261.78,73.0
262.38,71.0
262.98,69.0
263.58,71.0
264.18,74.0
264.78,70.0
265.38,71.0
265.98,69.0
266.58,71.0
267.18,74.0
267.78,75.0
268.38,71.0
268.98,71.0
269.58,65.0
270.17,70.0
270.77,70.0
271.37,71.0
271.97,73.0
272.57,72.0
273.17,70.0
273.77,72.0
274.37,69.0
274.97,70.0
275.57,68.0
276.17,69.0
276.77,67.0
277.37,73.0
277.97,68.0
278.57,68.0
279.17,71.0
279.77,73.0
280.37,69.0
280.97,68.0
281.57,72.0
282.16,67.0
282.76,69.0
283.36,71.0
283.96,71.0
284.56,70.0
285.16,69.0
285.76,67.0
286.36,68.0
286.96,67.0
287.56,67.0
288.16,67.0
288.76,73.0
289.36,74.0
289.96,70.0
290.56,71.0
291.16,68.0
291.76,67.0
292.35,69.0
292.95,72.0
293.55,73.0
294.15,69.0
294.75,71.0
295.35,73.0
295.95,74.0
296.55,70.0
297.15,71.0
297.75,68.0
298.35,67.0
298.95,73.0
299.55,70.0
300.15,69.0
300.75,72.0
301.35,69.0
301.94,66.0
302.54,71.0
303.14,66.0
303.74,69.0
304.34,66.0
304.94,67.0
305.54,66.0
306.14,68.0
306.74,69.0
307.34,73.0
307.94,73.0
308.54,76.0
309.14,67.0
309.74,77.0
310.33,67.0
310.93,71.0
311.53,66.0
312.13,64.0
312.73,65.0
313.33,69.0
313.93,73.0
314.53,69.0
315.13,72.0
315.73,71.0
316.33,67.0
316.93,69.0
317.53,70.0
318.12,71.0
318.72,69.0
319.32,67.0
319.92,70.0
320.52,67.0
321.12,70.0
321.72,73.0
322.32,71.0
322.92,68.0
323.52,70.0
324.12,66.0
324.71,73.0
325.31,71.0
325.91,72.0
326.51,69.0
327.11,74.0
327.71,71.0
328.31,71.0
328.91,74.0
329.51,74.0
330.11,72.0
330.71,72.0
331.31,76.0
331.90,74.0
332.50,76.0
333.10,72.0
333.70,78.0
334.30,73.0
334.90,75.0
335.50,73.0
336.10,74.0
336.70,78.0
337.30,77.0
337.89,72.0
338.49,77.0
339.09,76.0
339.69,83.0
340.29,81.0
340.89,79.0
341.49,76.0
342.09,76.0
342.69,80.0
343.29,83.0
343.88,80.0
344.48,79.0
345.08,79.0
345.68,76.0
346.28,79.0
346.88,74.0
347.48,81.0
348.08,80.0
348.68,83.0
349.27,77.0
349.87,80.0
350.47,78.0
351.07,80.0
351.67,76.0
352.27,78.0
352.87,80.0
353.47,78.0
354.07,83.0
354.66,79.0
355.26,78.0
355.86,83.0
356.46,82.0
357.06,80.0
357.66,81.0
358.26,78.0
358.86,83.0
359.46,76.0
360.05,77.0
360.65,76.0
361.25,81.0
361.85,82.0
362.45,80.0
363.05,80.0
363.65,80.0
364.25,82.0
364.84,82.0
365.44,80.0
366.04,81.0
366.64,79.0
367.24,86.0
367.84,83.0
368.44,85.0
369.04,81.0
