Wavelength,Intensity
179.38,0.0
179.75,52.0
180.13,56.0
180.51,56.0
180.88,60.0
181.26,59.0
181.64,55.0
182.02,54.0
182.39,60.0
182.77,60.0
183.15,54.0
183.52,58.0
183.90,53.0
184.28,54.0
184.65,59.0
185.03,62.0
185.41,55.0
185.78,52.0
186.16,51.0
186.53,52.0
186.91,57.0
187.29,57.0
187.66,55.0
188.04,57.0
188.42,54.0
188.79,61.0
189.17,58.0
189.55,58.0
189.92,62.0
190.30,60.0
190.67,58.0
191.05,62.0
191.43,58.0
191.80,59.0
192.18,58.0
192.56,57.0
192.93,60.0
193.31,58.0
193.68,55.0
194.06,59.0
194.44,56.0
194.81,54.0
195.19,58.0
195.56,56.0
195.94,58.0
196.32,53.0
196.69,59.0
197.07,57.0
197.44,57.0
197.82,58.0
198.19,61.0
198.57,55.0
198.95,54.0
199.32,60.0
199.70,61.0
200.07,57.0
200.45,62.0
200.82,56.0
201.20,58.0
201.57,59.0
201.95,63.0
202.33,62.0
202.70,59.0
203.08,59.0
203.45,61.0
203.83,55.0
204.20,56.0
204.58,54.0
204.95,58.0
205.33,57.0
205.70,60.0
206.08,59.0
206.45,58.0
206.83,57.0
207.20,56.0
207.58,54.0
207.95,60.0
208.33,57.0
208.70,58.0
209.08,56.0
209.45,53.0
209.83,57.0
210.20,60.0
210.58,61.0
210.95,61.0
211.33,62.0
211.70,61.0
212.08,58.0
212.45,59.0
212.83,61.0
213.20,58.0
213.58,57.0
213.95,56.0
214.33,53.0
214.70,60.0
215.07,57.0
215.45,58.0
215.82,53.0
216.20,61.0
216.57,62.0
216.95,59.0
217.32,59.0
217.70,63.0
218.07,62.0
218.44,60.0
218.82,58.0
219.19,60.0
219.57,57.0
219.94,58.0
220.32,62.0
220.69,61.0
221.06,60.0
221.44,59.0
221.81,56.0
222.19,59.0
222.56,57.0
222.93,63.0
223.31,59.0
223.68,60.0
224.06,53.0
224.43,58.0
224.80,57.0
225.18,56.0
225.55,63.0
225.92,56.0
226.30,59.0
226.67,60.0
227.05,58.0
227.42,56.0
227.79,60.0
228.17,60.0
228.54,58.0
228.91,58.0
229.29,60.0
229.66,59.0
230.03,62.0
230.41,56.0
230.78,56.0
231.15,61.0
231.53,63.0
231.90,64.0
232.27,59.0
232.65,62.0
233.02,57.0
233.39,56.0
233.77,63.0
234.14,60.0
234.51,58.0
234.89,57.0
235.26,59.0
235.63,58.0
236.01,58.0
236.38,63.0
236.75,61.0
237.12,55.0
237.50,58.0
237.87,52.0
238.24,57.0
238.62,56.0
238.99,57.0
239.36,59.0
239.73,57.0
240.11,59.0
240.48,57.0
240.85,56.0
241.23,61.0
241.60,63.0
