Wavelength,Intensity
179.53,0.0
179.91,67.0
180.29,62.0
180.67,67.0
181.05,72.0
181.42,67.0
181.80,66.0
182.18,68.0
182.56,67.0
182.94,67.0
183.32,64.0
183.70,63.0
184.08,69.0
184.46,69.0
184.83,70.0
185.21,63.0
185.59,69.0
185.97,69.0
186.35,65.0
186.73,67.0
187.11,70.0
187.48,73.0
187.86,63.0
188.24,70.0
188.62,67.0
189.00,67.0
189.38,68.0
189.75,67.0
190.13,68.0
190.51,70.0
190.89,69.0
191.27,67.0
191.65,71.0
192.02,68.0
192.40,67.0
192.78,71.0
193.16,69.0
193.54,71.0
193.91,71.0
194.29,69.0
194.67,70.0
195.05,69.0
195.43,69.0
195.80,65.0
196.18,65.0
196.56,62.0
196.94,69.0
197.32,69.0
197.69,71.0
198.07,71.0
198.45,66.0
198.83,66.0
199.20,66.0
199.58,64.0
199.96,68.0
200.34,71.0
200.71,67.0
201.09,70.0
201.47,70.0
201.85,69.0
202.22,71.0
202.60,75.0
202.98,70.0
203.36,68.0
203.73,70.0
204.11,72.0
204.49,67.0
204.86,66.0
205.24,71.0
205.62,69.0
206.00,70.0
206.37,66.0
206.75,70.0
207.13,70.0
207.50,72.0
207.88,70.0
208.26,69.0
208.64,71.0
209.01,70.0
209.39,73.0
209.77,66.0
210.14,67.0
210.52,68.0
210.90,68.0
211.27,68.0
211.65,67.0
212.03,70.0
212.40,71.0
212.78,70.0
213.16,69.0
213.53,72.0
213.91,72.0
214.29,68.0
214.66,70.0
215.04,70.0
215.41,68.0
215.79,67.0
216.17,66.0
216.54,71.0
216.92,70.0
217.30,69.0
217.67,70.0
218.05,73.0
218.42,71.0
218.80,69.0
219.18,71.0
219.55,74.0
219.93,70.0
220.30,71.0
220.68,69.0
221.06,71.0
221.43,74.0
221.81,75.0
222.18,71.0
222.56,71.0
222.94,65.0
223.31,70.0
223.69,70.0
224.06,71.0
224.44,73.0
224.81,72.0
225.19,70.0
225.57,72.0
225.94,69.0
226.32,70.0
226.69,68.0
227.07,69.0
