Wavelength,Intensity
350.25,54.0
350.61,61.0
350.97,57.0
351.34,57.0
351.7,53.0
352.07,55.0
352.43,58.0
352.79,55.0
353.16,55.0
353.52,61.0
353.88,56.0
354.25,58.0
354.61,58.0
354.97,53.0
355.34,62.0
355.7,62.0
356.06,57.0
356.43,56.0
356.79,56.0
357.15,56.0
357.52,59.0
357.88,57.0
358.24,57.0
358.6,56.0
358.97,56.0
359.33,58.0
359.69,60.0
360.06,57.0
360.42,58.0
360.78,62.0
361.14,58.0
361.51,61.0
361.87,54.0
362.23,61.0
362.6,61.0
362.96,61.0
363.32,59.0
363.68,59.0
364.05,52.0
364.41,61.0
364.77,54.0
365.13,55.0
365.5,59.0
365.86,58.0
366.22,55.0
366.58,58.0
366.95,57.0
367.31,58.0
367.67,54.0
368.03,54.0
368.39,57.0
368.76,57.0
369.12,55.0
369.48,59.0
369.84,54.0
370.2,59.0
370.57,62.0
370.93,56.0
371.29,54.0
371.65,53.0
372.01,56.0
372.38,52.0
372.74,56.0
373.1,64.0
373.46,57.0
373.82,59.0
374.18,58.0
374.55,57.0
374.91,60.0
375.27,52.0
375.63,58.0
375.99,57.0
376.35,58.0
376.71,55.0
377.08,60.0
377.44,57.0
377.8,58.0
378.16,57.0
378.52,59.0
378.88,56.0
379.24,62.0
379.6,58.0
379.97,56.0
380.33,55.0
380.69,53.0
381.05,59.0
381.41,50.0
381.77,58.0
382.13,60.0
382.49,55.0
382.85,61.0
383.21,61.0
383.57,61.0
383.94,55.0
384.3,64.0
384.66,52.0
385.02,60.0
385.38,61.0
385.74,57.0
386.1,60.0
386.46,59.0
386.82,57.0
387.18,59.0
387.54,60.0
387.9,56.0
388.26,57.0
388.62,54.0
388.98,57.0
389.34,63.0
389.7,58.0
390.06,55.0
390.42,61.0
390.78,60.0
391.14,58.0
391.5,59.0
391.86,52.0
392.22,60.0
392.58,60.0
392.94,57.0
393.3,60.0
393.66,57.0
394.02,58.0
394.38,59.0
394.74,55.0
395.1,57.0
395.46,62.0
395.82,57.0
396.18,59.0
396.54,55.0
396.9,58.0
397.26,61.0
397.62,57.0
397.98,60.0
398.34,61.0
398.7,57.0
399.05,60.0
399.41,59.0
399.77,59.0
400.13,56.0
400.49,60.0
400.85,54.0
401.21,55.0
401.57,54.0
401.93,62.0
402.29,63.0
402.65,59.0
403.0,61.0
403.36,58.0
403.72,55.0
404.08,63.0
404.44,59.0
404.8,60.0
405.16,58.0
405.52,54.0
405.87,56.0
406.23,63.0
406.59,59.0
406.95,57.0
407.31,58.0
407.67,56.0
408.03,54.0
408.38,57.0
408.74,56.0
409.1,57.0
409.46,60.0
409.82,60.0
410.17,58.0
410.53,55.0
410.89,57.0
411.25,55.0
411.61,53.0
411.97,57.0
412.32,59.0
412.68,57.0
413.04,58.0
413.4,59.0
413.75,58.0
414.11,57.0
414.47,57.0
414.83,60.0
415.19,57.0
415.54,57.0
415.9,54.0
416.26,60.0
416.62,58.0
416.97,61.0
417.33,56.0
417.69,55.0
418.05,59.0
418.4,62.0
418.76,59.0
419.12,55.0
419.48,61.0
419.83,60.0
420.19,60.0
420.55,58.0
420.9,60.0
421.26,60.0
421.62,56.0
421.98,61.0
422.33,58.0
422.69,63.0
423.05,57.0
423.4,58.0
423.76,57.0
424.12,59.0
424.47,60.0
424.83,56.0
425.19,56.0
425.54,60.0
425.9,61.0
426.26,59.0
426.61,56.0
426.97,55.0
427.33,59.0
427.68,60.0
428.04,57.0
428.4,60.0
428.75,61.0
429.11,60.0
429.47,56.0
429.82,61.0
430.18,57.0
430.53,55.0
430.89,58.0
431.25,55.0
431.6,62.0
431.96,57.0
432.31,65.0
432.67,65.0
433.03,59.0
433.38,62.0
433.74,59.0
434.09,53.0
434.45,61.0
434.81,60.0
435.16,59.0
435.52,59.0
435.87,59.0
436.23,60.0
436.58,58.0
436.94,60.0
437.3,58.0
437.65,63.0
438.01,56.0
438.36,53.0
438.72,56.0
439.07,59.0
439.43,58.0
439.78,61.0
440.14,55.0
440.49,53.0
440.85,62.0
441.2,58.0
441.56,56.0
441.91,53.0
442.27,54.0
442.62,55.0
442.98,53.0
443.33,60.0
443.69,54.0
444.04,60.0
444.4,56.0
444.75,62.0
445.11,58.0
445.46,58.0
445.82,61.0
446.17,61.0
446.53,58.0
446.88,58.0
447.23,57.0
447.59,65.0
447.94,59.0
448.3,53.0
448.65,58.0
449.01,59.0
449.36,56.0
449.72,56.0
450.07,59.0
450.42,56.0
450.78,57.0
451.13,58.0
451.49,55.0
451.84,59.0
452.19,56.0
452.55,58.0
452.9,60.0
453.26,59.0
453.61,63.0
453.96,54.0
454.32,61.0
454.67,59.0
455.02,59.0
455.38,61.0
455.73,61.0
456.09,57.0
456.44,62.0
456.79,59.0
457.15,58.0
457.5,57.0
457.85,54.0
458.21,61.0
458.56,61.0
458.91,59.0
459.27,59.0
459.62,62.0
459.97,59.0
460.32,62.0
460.68,58.0
