Wavelength,Intensity
350.47,70.0
351.07,72.0
351.67,75.0
352.27,68.0
352.87,70.0
353.47,68.0
354.07,68.0
354.66,71.0
355.26,67.0
355.86,69.0
356.46,70.0
357.06,73.0
357.66,65.0
358.26,68.0
358.86,69.0
359.46,65.0
360.05,65.0
360.65,68.0
361.25,71.0
361.85,72.0
362.45,70.0
363.05,69.0
363.65,70.0
364.25,66.0
364.84,66.0
365.44,69.0
366.04,67.0
366.64,67.0
367.24,66.0
367.84,69.0
368.44,74.0
369.04,73.0
369.63,70.0
370.23,64.0
370.83,66.0
371.43,71.0
372.03,70.0
372.63,71.0
373.23,70.0
373.83,71.0
374.42,66.0
375.02,64.0
375.62,67.0
376.22,73.0
376.82,71.0
377.42,72.0
378.02,70.0
378.62,69.0
379.21,65.0
379.81,70.0
380.41,72.0
381.01,69.0
381.61,69.0
382.21,69.0
382.81,70.0
383.4,66.0
384.0,69.0
384.6,70.0
385.2,67.0
385.8,66.0
386.4,68.0
387.0,67.0
387.59,77.0
388.19,68.0
388.79,70.0
389.39,71.0
389.99,67.0
390.59,72.0
391.19,71.0
391.78,67.0
392.38,71.0
392.98,68.0
393.58,65.0
394.18,65.0
394.78,69.0
395.38,68.0
395.97,66.0
396.57,71.0
397.17,69.0
397.77,63.0
398.37,69.0
398.97,63.0
399.56,74.0
400.16,70.0
400.76,67.0
401.36,71.0
401.96,70.0
402.56,65.0
403.15,67.0
403.75,72.0
404.35,66.0
404.95,68.0
405.55,70.0
406.15,67.0
406.75,67.0
407.34,69.0
407.94,68.0
408.54,69.0
409.14,71.0
409.74,70.0
410.34,64.0
410.93,62.0
411.53,67.0
412.13,69.0
412.73,64.0
413.33,67.0
413.93,66.0
414.52,75.0
415.12,67.0
415.72,66.0
416.32,63.0
416.92,66.0
417.51,71.0
418.11,67.0
418.71,68.0
419.31,67.0
419.91,65.0
420.51,66.0
421.1,72.0
421.7,68.0
422.3,72.0
422.9,69.0
423.5,71.0
424.1,63.0
424.69,65.0
425.29,75.0
425.89,74.0
426.49,70.0
427.09,70.0
427.68,70.0
428.28,70.0
428.88,69.0
429.48,71.0
430.08,67.0
430.68,66.0
431.27,65.0
431.87,67.0
432.47,68.0
433.07,67.0
433.67,67.0
434.26,70.0
434.86,69.0
435.46,71.0
436.06,68.0
436.66,69.0
437.25,68.0
437.85,72.0
438.45,67.0
439.05,69.0
439.65,71.0
440.24,70.0
440.84,65.0
441.44,71.0
442.04,73.0
442.64,67.0
443.23,68.0
443.83,69.0
444.43,68.0
445.03,71.0
445.63,71.0
446.22,66.0
446.82,70.0
447.42,67.0
448.02,69.0
448.62,70.0
449.21,67.0
449.81,67.0
450.41,70.0
451.01,67.0
451.61,67.0
452.2,67.0
452.8,67.0
453.4,67.0
454.0,73.0
454.6,66.0
455.19,67.0
455.79,68.0
456.39,68.0
456.99,67.0
457.58,67.0
458.18,69.0
458.78,70.0
459.38,71.0
459.98,65.0
460.57,71.0
461.17,69.0
461.77,66.0
462.37,69.0
462.96,74.0
463.56,70.0
464.16,70.0
464.76,72.0
465.36,70.0
465.95,72.0
466.55,70.0
467.15,65.0
