Wavelength,Intensity
350.47,67.0
351.07,63.0
351.67,68.0
352.27,67.0
352.87,75.0
353.47,68.0
354.07,72.0
354.66,70.0
355.26,63.0
355.86,65.0
356.46,63.0
357.06,63.0
357.66,63.0
358.26,71.0
358.86,66.0
359.46,67.0
360.05,64.0
360.65,70.0
361.25,71.0
361.85,69.0
362.45,74.0
363.05,69.0
363.65,70.0
364.25,73.0
364.84,73.0
365.44,74.0
366.04,70.0
366.64,67.0
367.24,67.0
367.84,69.0
368.44,63.0
369.04,63.0
369.63,67.0
370.23,74.0
370.83,67.0
371.43,63.0
372.03,66.0
372.63,64.0
373.23,65.0
373.83,67.0
374.42,73.0
375.02,77.0
375.62,93.0
376.22,98.0
376.82,86.0
377.42,74.0
378.02,68.0
378.62,66.0
379.21,70.0
379.81,67.0
380.41,74.0
381.01,73.0
381.61,70.0
382.21,69.0
382.81,72.0
383.4,71.0
384.0,76.0
384.6,75.0
385.2,80.0
385.8,104.0
386.4,176.0
387.0,385.0
387.59,650.0
388.19,644.0
388.79,470.0
389.39,189.0
389.99,100.0
390.59,77.0
391.19,74.0
391.78,73.0
392.38,74.0
392.98,70.0
393.58,70.0
394.18,77.0
394.78,74.0
395.38,87.0
395.97,128.0
396.57,155.0
397.17,149.0
397.77,115.0
398.37,80.0
398.97,68.0
399.56,71.0
400.16,73.0
400.76,70.0
401.36,68.0
401.96,66.0
402.56,70.0
403.15,70.0
403.75,69.0
404.35,77.0
404.95,71.0
405.55,68.0
406.15,68.0
406.75,71.0
407.34,76.0
407.94,78.0
408.54,88.0
409.14,89.0
409.74,93.0
410.34,100.0
410.93,120.0
411.53,157.0
412.13,307.0
412.73,839.0
413.33,1596.0
413.93,2485.0
414.52,2563.0
415.12,1968.0
415.72,1053.0
416.32,377.0
416.92,174.0
417.51,121.0
418.11,99.0
418.71,95.0
419.31,87.0
419.91,83.0
420.51,80.0
421.1,82.0
421.7,74.0
422.3,68.0
422.9,73.0
423.5,69.0
424.1,68.0
424.69,75.0
425.29,70.0
425.89,67.0
426.49,64.0
427.09,63.0
427.68,67.0
428.28,65.0
428.88,63.0
429.48,65.0
430.08,63.0
430.68,63.0
431.27,60.0
431.87,61.0
432.47,63.0
433.07,64.0
433.67,63.0
434.26,64.0
434.86,62.0
435.46,64.0
436.06,65.0
436.66,62.0
437.25,68.0
437.85,65.0
438.45,63.0
439.05,67.0
439.65,59.0
440.24,67.0
440.84,65.0
441.44,65.0
442.04,62.0
442.64,67.0
443.23,66.0
443.83,61.0
444.43,67.0
445.03,64.0
445.63,63.0
446.22,69.0
446.82,72.0
447.42,85.0
448.02,127.0
448.62,156.0
449.21,165.0
449.81,129.0
450.41,90.0
451.01,75.0
451.61,67.0
452.2,67.0
452.8,68.0
453.4,67.0
454.0,65.0
454.6,68.0
455.19,64.0
455.79,64.0
456.39,65.0
456.99,64.0
457.58,66.0
458.18,69.0
458.78,64.0
459.38,67.0
459.98,70.0
460.57,64.0
461.17,68.0
461.77,64.0
462.37,65.0
462.96,64.0
463.56,64.0
464.16,65.0
464.76,65.0
465.36,71.0
465.95,64.0
466.55,65.0
467.15,66.0
467.75,62.0
468.34,65.0
468.94,65.0
469.54,67.0
470.14,71.0
470.73,66.0
471.33,68.0
471.93,70.0
472.53,66.0
473.13,65.0
473.72,66.0
474.32,67.0
474.92,69.0
475.52,65.0
476.11,68.0
476.71,69.0
477.31,71.0
477.91,65.0
478.5,64.0
479.1,61.0
479.7,68.0
480.3,66.0
480.89,68.0
481.49,70.0
482.09,65.0
482.69,69.0
483.28,70.0
483.88,65.0
484.48,75.0
485.08,67.0
485.67,67.0
486.27,74.0
486.87,73.0
487.47,77.0
488.06,84.0
488.66,81.0
489.26,83.0
489.86,85.0
490.45,86.0
491.05,92.0
491.65,96.0
492.25,98.0
492.84,102.0
493.44,108.0
494.04,120.0
494.64,121.0
495.23,136.0
495.83,149.0
496.43,191.0
497.03,291.0
497.62,799.0
498.22,3133.0
498.82,4095.0
499.42,4095.0
500.01,4095.0
500.61,4095.0
501.21,4095.0
501.81,2829.0
502.4,1167.0
503.0,582.0
503.6,307.0
504.19,203.0
504.79,158.0
505.39,135.0
505.99,120.0
506.58,119.0
507.18,111.0
507.78,110.0
508.38,110.0
508.97,105.0
509.57,101.0
510.17,101.0
510.76,96.0
511.36,101.0
511.96,95.0
512.56,85.0
513.15,90.0
513.75,92.0
514.35,92.0
514.94,86.0
515.54,94.0
516.14,93.0
516.74,90.0
517.33,91.0
517.93,91.0
518.53,91.0
519.12,88.0
519.72,93.0
520.32,88.0
520.92,89.0
521.51,91.0
522.11,94.0
522.71,92.0
523.3,93.0
523.9,96.0
524.5,95.0
525.09,106.0
525.69,98.0
526.29,101.0
526.89,97.0
527.48,93.0
528.08,103.0
528.68,98.0
529.27,99.0
529.87,98.0
530.47,99.0
531.06,109.0
531.66,100.0
532.26,103.0
532.86,106.0
533.45,105.0
534.05,103.0
534.65,99.0
535.24,101.0
535.84,102.0
536.44,108.0
537.03,103.0
537.63,110.0
538.23,108.0
538.82,99.0
539.42,107.0
540.02,111.0
540.61,105.0
541.21,114.0
541.81,115.0
542.41,111.0
