Wavelength,Intensity
350.25,78.0
350.61,78.0
350.97,79.0
351.34,84.0
351.7,81.0
352.07,83.0
352.43,78.0
352.79,76.0
353.16,78.0
353.52,76.0
353.88,79.0
354.25,84.0
354.61,83.0
354.97,78.0
355.34,81.0
355.7,83.0
356.06,80.0
356.43,82.0
356.79,79.0
357.15,81.0
357.52,78.0
357.88,84.0
358.24,84.0
358.6,84.0
358.97,82.0
359.33,83.0
359.69,82.0
360.06,84.0
360.42,84.0
360.78,84.0
361.14,86.0
361.51,83.0
361.87,87.0
362.23,86.0
362.6,89.0
362.96,83.0
363.32,89.0
363.68,89.0
364.05,92.0
364.41,86.0
364.77,93.0
365.13,91.0
365.5,88.0
365.86,91.0
366.22,91.0
366.58,93.0
366.95,94.0
367.31,90.0
367.67,95.0
368.03,91.0
368.39,90.0
368.76,88.0
369.12,91.0
369.48,91.0
369.84,100.0
370.2,96.0
370.57,101.0
370.93,97.0
371.29,97.0
371.65,95.0
372.01,103.0
372.38,98.0
372.74,95.0
373.1,96.0
373.46,98.0
373.82,97.0
374.18,94.0
374.55,101.0
374.91,94.0
375.27,106.0
375.63,97.0
375.99,99.0
376.35,99.0
376.71,98.0
377.08,104.0
377.44,100.0
377.8,110.0
378.16,109.0
378.52,101.0
378.88,107.0
379.24,103.0
379.6,111.0
379.97,115.0
380.33,109.0
380.69,105.0
381.05,108.0
381.41,111.0
381.77,107.0
382.13,110.0
382.49,110.0
382.85,109.0
383.21,109.0
383.57,100.0
383.94,110.0
384.3,110.0
384.66,116.0
385.02,109.0
385.38,114.0
385.74,109.0
386.1,107.0
386.46,112.0
386.82,122.0
387.18,121.0
387.54,117.0
387.9,115.0
388.26,120.0
388.62,113.0
388.98,114.0
389.34,118.0
389.7,117.0
390.06,113.0
390.42,113.0
390.78,118.0
391.14,126.0
391.5,123.0
391.86,131.0
392.22,131.0
392.58,129.0
392.94,115.0
393.3,117.0
393.66,122.0
394.02,127.0
394.38,118.0
394.74,123.0
395.1,121.0
395.46,122.0
395.82,127.0
396.18,120.0
396.54,135.0
396.9,136.0
397.26,132.0
397.62,125.0
397.98,126.0
398.34,129.0
398.7,132.0
399.05,118.0
399.41,118.0
399.77,126.0
400.13,130.0
400.49,125.0
400.85,131.0
401.21,126.0
401.57,132.0
401.93,125.0
402.29,131.0
402.65,127.0
403.0,127.0
403.36,129.0
403.72,134.0
404.08,150.0
404.44,130.0
404.8,133.0
405.16,135.0
405.52,132.0
405.87,138.0
406.23,139.0
406.59,130.0
406.95,132.0
407.31,128.0
407.67,132.0
408.03,138.0
408.38,139.0
408.74,148.0
409.1,149.0
409.46,131.0
409.82,143.0
410.17,145.0
410.53,139.0
410.89,143.0
411.25,128.0
411.61,133.0
411.97,147.0
412.32,142.0
412.68,146.0
413.04,131.0
413.4,130.0
413.75,137.0
414.11,134.0
414.47,129.0
414.83,149.0
415.19,139.0
415.54,132.0
415.9,141.0
416.26,142.0
416.62,146.0
416.97,125.0
417.33,143.0
417.69,145.0
418.05,149.0
418.4,131.0
418.76,137.0
419.12,144.0
419.48,146.0
419.83,156.0
420.19,143.0
420.55,151.0
420.9,165.0
421.26,159.0
421.62,141.0
421.98,161.0
422.33,159.0
422.69,163.0
423.05,157.0
423.4,146.0
423.76,138.0
424.12,153.0
424.47,156.0
424.83,144.0
425.19,141.0
425.54,140.0
425.9,155.0
426.26,158.0
426.61,159.0
426.97,134.0
427.33,155.0
427.68,151.0
428.04,165.0
428.4,171.0
428.75,171.0
429.11,160.0
429.47,177.0
429.82,180.0
430.18,166.0
