Wavelength,Intensity
350.34,68.0
350.7,74.0
351.07,71.0
351.43,66.0
351.8,66.0
352.16,69.0
352.53,65.0
352.89,73.0
353.25,68.0
353.62,71.0
353.98,70.0
354.35,66.0
354.71,74.0
355.08,70.0
355.44,73.0
355.8,70.0
356.17,68.0
356.53,71.0
356.9,68.0
357.26,66.0
357.63,70.0
357.99,67.0
358.35,69.0
358.72,67.0
359.08,65.0
359.44,70.0
359.81,70.0
360.17,68.0
360.54,74.0
360.9,69.0
361.26,63.0
361.63,62.0
361.99,72.0
362.35,70.0
362.72,73.0
363.08,64.0
363.44,68.0
363.81,67.0
364.17,67.0
364.53,68.0
364.9,68.0
365.26,65.0
365.62,69.0
365.99,68.0
366.35,66.0
366.71,76.0
367.08,67.0
367.44,68.0
367.8,68.0
368.17,65.0
368.53,73.0
368.89,69.0
369.25,71.0
369.62,71.0
369.98,71.0
370.34,66.0
370.71,64.0
371.07,69.0
371.43,70.0
371.79,69.0
372.16,70.0
372.52,66.0
372.88,67.0
373.24,67.0
373.61,67.0
373.97,68.0
374.33,69.0
374.69,69.0
375.05,67.0
375.42,68.0
375.78,76.0
376.14,70.0
376.5,65.0
376.87,70.0
377.23,73.0
377.59,66.0
377.95,67.0
378.31,67.0
378.68,67.0
379.04,63.0
379.4,67.0
379.76,69.0
380.12,70.0
380.48,69.0
380.85,67.0
381.21,70.0
381.57,67.0
381.93,74.0
382.29,65.0
382.65,69.0
383.02,70.0
383.38,71.0
383.74,69.0
384.1,73.0
384.46,70.0
384.82,70.0
385.18,68.0
385.55,70.0
385.91,71.0
386.27,68.0
386.63,72.0
386.99,72.0
387.35,71.0
387.71,66.0
388.07,67.0
388.43,67.0
388.8,67.0
389.16,65.0
389.52,68.0
389.88,66.0
390.24,68.0
390.6,66.0
390.96,66.0
391.32,65.0
391.68,63.0
392.04,63.0
392.4,70.0
392.76,70.0
393.12,68.0
393.48,69.0
393.84,65.0
394.2,68.0
394.57,67.0
394.93,68.0
395.29,67.0
395.65,72.0
396.01,65.0
396.37,71.0
396.73,67.0
397.09,69.0
397.45,70.0
397.81,65.0
398.17,68.0
398.53,69.0
398.89,65.0
399.25,69.0
399.61,63.0
399.97,70.0
400.33,68.0
400.69,66.0
401.04,71.0
401.4,70.0
