Wavelength,Intensity
350.34,64.0
350.7,63.0
351.07,64.0
351.43,67.0
351.8,69.0
352.16,65.0
352.53,66.0
352.89,67.0
353.25,67.0
353.62,67.0
353.98,68.0
354.35,68.0
354.71,73.0
355.08,69.0
355.44,69.0
355.8,72.0
356.17,68.0
356.53,69.0
356.9,76.0
357.26,73.0
357.63,80.0
357.99,77.0
358.35,82.0
358.72,82.0
359.08,80.0
359.44,88.0
359.81,91.0
360.17,96.0
360.54,99.0
360.9,101.0
361.26,111.0
361.63,123.0
361.99,126.0
362.35,136.0
362.72,166.0
363.08,198.0
363.44,291.0
363.81,810.0
364.17,3151.0
364.53,4095.0
364.9,4095.0
365.26,4095.0
365.62,4095.0
365.99,4095.0
366.35,2969.0
366.71,1189.0
367.08,587.0
367.44,320.0
367.8,203.0
368.17,155.0
368.53,137.0
368.89,123.0
369.25,120.0
369.62,119.0
369.98,111.0
370.34,109.0
370.71,102.0
371.07,103.0
371.43,95.0
371.79,99.0
372.16,96.0
372.52,96.0
372.88,92.0
373.24,88.0
373.61,87.0
373.97,90.0
374.33,95.0
374.69,90.0
375.05,94.0
375.42,88.0
375.78,92.0
376.14,90.0
376.5,90.0
376.87,93.0
377.23,92.0
377.59,93.0
377.95,91.0
378.31,92.0
378.68,92.0
379.04,87.0
379.4,96.0
379.76,97.0
380.12,93.0
380.48,97.0
380.85,103.0
381.21,104.0
381.57,96.0
381.93,100.0
382.29,105.0
382.65,101.0
383.02,99.0
383.38,93.0
383.74,100.0
384.1,101.0
384.46,106.0
384.82,108.0
385.18,112.0
385.55,101.0
385.91,102.0
386.27,98.0
386.63,99.0
386.99,106.0
387.35,103.0
387.71,103.0
388.07,108.0
388.43,107.0
388.8,103.0
389.16,111.0
389.52,104.0
389.88,106.0
390.24,112.0
390.6,107.0
390.96,102.0
391.32,111.0
391.68,112.0
392.04,109.0
392.4,111.0
392.76,107.0
393.12,114.0
393.48,111.0
393.84,104.0
394.2,110.0
394.57,109.0
394.93,114.0
395.29,105.0
395.65,113.0
396.01,109.0
396.37,112.0
396.73,109.0
397.09,113.0
397.45,115.0
397.81,129.0
398.17,121.0
398.53,125.0
398.89,126.0
399.25,115.0
399.61,122.0
399.97,125.0
400.33,122.0
400.69,129.0
401.04,144.0
401.4,145.0
401.76,152.0
402.12,151.0
402.48,176.0
402.84,207.0
403.2,298.0
403.56,1287.0
403.92,4095.0
404.28,4095.0
404.64,4095.0
405.0,4095.0
405.36,4095.0
405.72,3127.0
406.08,732.0
406.44,327.0
406.79,375.0
407.15,622.0
407.51,673.0
407.87,749.0
408.23,533.0
408.59,360.0
408.95,227.0
409.31,164.0
409.67,149.0
410.03,136.0
410.38,122.0
410.74,121.0
411.1,119.0
411.46,115.0
411.82,112.0
412.18,103.0
412.54,106.0
412.89,113.0
413.25,112.0
413.61,111.0
413.97,106.0
414.33,102.0
414.69,101.0
415.04,103.0
415.4,104.0
415.76,104.0
416.12,101.0
416.48,95.0
416.83,102.0
417.19,97.0
417.55,99.0
417.91,95.0
418.27,101.0
418.62,97.0
418.98,93.0
419.34,95.0
419.7,96.0
420.06,98.0
420.41,99.0
420.77,98.0
421.13,96.0
421.49,98.0
421.84,99.0
422.2,96.0
422.56,90.0
422.92,91.0
423.27,97.0
423.63,93.0
423.99,95.0
424.34,88.0
424.7,91.0
425.06,93.0
425.42,93.0
425.77,89.0
426.13,101.0
426.49,101.0
426.84,104.0
427.2,103.0
427.56,108.0
427.92,95.0
428.27,105.0
428.63,109.0
428.99,125.0
429.34,135.0
429.7,137.0
430.06,135.0
430.41,137.0
430.77,142.0
431.13,151.0
431.48,147.0
431.84,162.0
432.2,164.0
432.55,180.0
432.91,201.0
433.26,229.0
433.62,295.0
433.98,415.0
434.33,597.0
434.69,2099.0
435.05,4095.0
435.4,4095.0
435.76,4095.0
436.11,4095.0
436.47,4095.0
436.83,4095.0
437.18,4095.0
437.54,989.0
437.89,461.0
438.25,315.0
438.6,254.0
438.96,195.0
439.32,173.0
439.67,158.0
440.03,144.0
440.38,142.0
440.74,140.0
441.09,133.0
441.45,118.0
441.8,115.0
442.16,111.0
442.52,106.0
442.87,107.0
443.23,93.0
443.58,96.0
443.94,94.0
444.29,87.0
444.65,93.0
445.0,95.0
445.36,80.0
445.71,87.0
446.07,85.0
446.42,87.0
446.78,82.0
447.13,78.0
447.49,84.0
447.84,84.0
448.2,79.0
448.55,76.0
448.9,77.0
449.26,78.0
449.61,74.0
449.97,76.0
450.32,78.0
450.68,78.0
451.03,81.0
451.39,82.0
451.74,84.0
452.09,75.0
452.45,78.0
452.8,78.0
453.16,73.0
453.51,75.0
453.87,78.0
454.22,81.0
454.57,75.0
454.93,76.0
455.28,82.0
455.64,75.0
455.99,75.0
456.34,75.0
456.7,76.0
457.05,76.0
457.4,76.0
457.76,76.0
458.11,71.0
458.46,71.0
458.82,75.0
459.17,77.0
459.53,73.0
459.88,76.0
460.23,70.0
460.59,75.0
460.94,77.0
461.29,73.0
461.65,73.0
462.0,71.0
462.35,71.0
462.7,77.0
463.06,71.0
463.41,70.0
463.76,72.0
464.12,72.0
464.47,77.0
464.82,71.0
465.18,75.0
465.53,72.0
465.88,73.0
466.23,75.0
466.59,74.0
466.94,77.0
467.29,72.0
467.64,75.0
468.0,71.0
468.35,78.0
468.7,72.0
469.05,73.0
469.41,72.0
469.76,74.0
470.11,74.0
470.46,73.0
470.82,74.0
471.17,72.0
471.52,67.0
471.87,73.0
472.22,71.0
472.58,72.0
472.93,76.0
473.28,71.0
473.63,74.0
473.98,73.0
474.34,72.0
474.69,74.0
475.04,74.0
475.39,73.0
475.74,77.0
476.09,70.0
476.45,70.0
476.8,73.0
477.15,79.0
477.5,70.0
477.85,71.0
478.2,75.0
478.55,79.0
478.91,74.0
479.26,70.0
479.61,75.0
479.96,71.0
480.31,71.0
480.66,77.0
481.01,73.0
481.36,75.0
481.71,71.0
482.07,73.0
482.42,71.0
482.77,67.0
483.12,73.0
483.47,70.0
483.82,66.0
484.17,74.0
484.52,75.0
484.87,72.0
485.22,71.0
485.57,70.0
485.92,72.0
486.27,71.0
486.62,76.0
486.97,76.0
487.32,69.0
487.68,73.0
488.03,69.0
488.38,72.0
488.73,68.0
489.08,68.0
489.43,73.0
489.78,70.0
490.13,71.0
490.48,75.0
490.83,103.0
491.18,128.0
491.53,131.0
491.88,123.0
492.23,107.0
492.58,92.0
492.92,77.0
493.27,74.0
493.62,77.0
493.97,74.0
494.32,73.0
494.67,67.0
495.02,73.0
495.37,71.0
495.72,70.0
496.07,65.0
496.42,71.0
496.77,72.0
497.12,73.0
497.47,75.0
497.82,69.0
498.17,71.0
498.51,72.0
498.86,67.0
499.21,70.0
499.56,67.0
499.91,67.0
500.26,67.0
500.61,71.0
500.96,70.0
501.31,69.0
501.65,70.0
502.0,66.0
502.35,67.0
502.7,72.0
503.05,74.0
503.4,66.0
503.75,71.0
504.09,71.0
504.44,70.0
504.79,68.0
505.14,68.0
505.49,66.0
505.83,64.0
506.18,70.0
506.53,70.0
506.88,73.0
507.23,66.0
507.58,71.0
507.92,70.0
508.27,67.0
508.62,66.0
508.97,72.0
509.31,70.0
509.66,69.0
510.01,73.0
510.36,69.0
510.71,71.0
511.05,67.0
511.4,69.0
511.75,71.0
512.1,65.0
512.44,70.0
512.79,65.0
513.14,70.0
513.48,65.0
513.83,71.0
