Wavelength,Intensity
350.25,111.0
350.61,113.0
350.97,108.0
351.34,111.0
351.7,115.0
352.07,114.0
352.43,116.0
352.79,122.0
353.16,116.0
353.52,113.0
353.88,114.0
354.25,117.0
354.61,120.0
354.97,115.0
355.34,120.0
355.7,122.0
356.06,121.0
356.43,120.0
356.79,124.0
357.15,121.0
357.52,121.0
357.88,124.0
358.24,123.0
358.6,127.0
358.97,124.0
359.33,130.0
359.69,129.0
360.06,130.0
360.42,127.0
360.78,132.0
361.14,136.0
361.51,133.0
361.87,133.0
362.23,139.0
362.6,139.0
362.96,133.0
363.32,127.0
363.68,137.0
364.05,143.0
364.41,140.0
364.77,147.0
365.13,144.0
365.5,153.0
365.86,147.0
366.22,150.0
366.58,150.0
366.95,151.0
367.31,154.0
367.67,155.0
368.03,152.0
368.39,157.0
368.76,150.0
369.12,146.0
369.48,153.0
369.84,159.0
370.2,156.0
370.57,154.0
370.93,158.0
371.29,157.0
371.65,162.0
372.01,160.0
372.38,160.0
372.74,170.0
373.1,151.0
373.46,163.0
373.82,164.0
374.18,159.0
374.55,156.0
374.91,162.0
375.27,165.0
375.63,163.0
375.99,155.0
376.35,165.0
376.71,163.0
377.08,164.0
377.44,167.0
377.8,175.0
378.16,170.0
378.52,177.0
378.88,177.0
379.24,174.0
379.6,182.0
379.97,196.0
380.33,190.0
380.69,178.0
381.05,182.0
381.41,198.0
381.77,186.0
382.13,190.0
382.49,191.0
382.85,179.0
383.21,189.0
383.57,176.0
383.94,202.0
384.3,194.0
384.66,184.0
385.02,182.0
385.38,187.0
385.74,192.0
386.1,192.0
386.46,202.0
386.82,203.0
387.18,202.0
387.54,203.0
387.9,204.0
388.26,202.0
388.62,203.0
388.98,200.0
389.34,203.0
389.7,210.0
390.06,192.0
390.42,195.0
390.78,204.0
391.14,210.0
391.5,209.0
391.86,227.0
392.22,231.0
392.58,232.0
392.94,204.0
393.3,198.0
393.66,211.0
394.02,212.0
394.38,186.0
394.74,207.0
395.1,205.0
395.46,210.0
395.82,219.0
396.18,200.0
396.54,225.0
396.9,228.0
397.26,220.0
397.62,227.0
397.98,243.0
398.34,207.0
398.7,221.0
399.05,195.0
399.41,202.0
399.77,205.0
400.13,213.0
400.49,219.0
400.85,223.0
401.21,203.0
401.57,228.0
401.93,205.0
402.29,202.0
402.65,205.0
403.0,224.0
403.36,217.0
403.72,216.0
404.08,235.0
404.44,222.0
404.8,226.0
405.16,230.0
405.52,221.0
405.87,231.0
406.23,217.0
406.59,205.0
406.95,216.0
407.31,217.0
407.67,224.0
408.03,219.0
408.38,222.0
408.74,243.0
409.1,239.0
409.46,228.0
409.82,227.0
410.17,226.0
410.53,209.0
410.89,219.0
411.25,195.0
411.61,215.0
411.97,232.0
