Wavelength,Intensity
350.25,73.0
350.61,69.0
350.97,71.0
351.34,67.0
351.7,73.0
352.07,70.0
352.43,71.0
352.79,75.0
353.16,73.0
353.52,71.0
353.88,72.0
354.25,72.0
354.61,75.0
354.97,76.0
355.34,76.0
355.7,68.0
356.06,71.0
356.43,67.0
356.79,72.0
357.15,76.0
357.52,72.0
357.88,71.0
358.24,68.0
358.6,75.0
358.97,77.0
359.33,76.0
359.69,74.0
360.06,68.0
360.42,71.0
360.78,76.0
361.14,73.0
361.51,79.0
361.87,74.0
362.23,74.0
362.6,78.0
362.96,79.0
363.32,78.0
363.68,73.0
364.05,75.0
364.41,74.0
364.77,80.0
365.13,75.0
365.5,76.0
365.86,75.0
366.22,80.0
366.58,74.0
366.95,77.0
367.31,80.0
367.67,75.0
368.03,82.0
368.39,80.0
368.76,81.0
369.12,80.0
369.48,80.0
369.84,77.0
370.2,76.0
370.57,86.0
370.93,82.0
371.29,86.0
371.65,82.0
372.01,78.0
372.38,81.0
372.74,79.0
373.1,79.0
373.46,85.0
373.82,82.0
374.18,84.0
374.55,84.0
374.91,85.0
375.27,91.0
375.63,85.0
375.99,86.0
376.35,88.0
376.71,85.0
377.08,89.0
377.44,90.0
377.8,90.0
378.16,90.0
378.52,88.0
378.88,91.0
379.24,88.0
379.6,94.0
379.97,94.0
380.33,92.0
380.69,93.0
381.05,95.0
381.41,100.0
381.77,97.0
382.13,94.0
382.49,100.0
382.85,90.0
383.21,100.0
383.57,94.0
383.94,106.0
384.3,100.0
384.66,102.0
385.02,103.0
385.38,102.0
385.74,101.0
386.1,108.0
386.46,104.0
386.82,110.0
387.18,104.0
387.54,105.0
387.9,114.0
388.26,103.0
388.62,111.0
388.98,107.0
389.34,105.0
389.7,111.0
390.06,107.0
390.42,113.0
390.78,116.0
391.14,118.0
391.5,114.0
391.86,116.0
392.22,122.0
392.58,118.0
392.94,113.0
393.3,118.0
393.66,120.0
394.02,120.0
394.38,117.0
394.74,121.0
395.1,122.0
395.46,130.0
395.82,123.0
396.18,126.0
396.54,129.0
396.9,132.0
397.26,125.0
397.62,135.0
397.98,142.0
398.34,126.0
398.7,125.0
399.05,130.0
399.41,131.0
399.77,131.0
400.13,136.0
400.49,135.0
400.85,144.0
401.21,140.0
401.57,140.0
401.93,141.0
402.29,140.0
402.65,148.0
403.0,147.0
403.36,150.0
403.72,151.0
404.08,155.0
404.44,148.0
404.8,150.0
405.16,163.0
405.52,165.0
405.87,162.0
406.23,167.0
406.59,152.0
406.95,157.0
407.31,166.0
407.67,166.0
408.03,173.0
408.38,170.0
408.74,178.0
409.1,179.0
409.46,162.0
409.82,170.0
410.17,175.0
410.53,170.0
410.89,176.0
411.25,164.0
411.61,168.0
411.97,186.0
412.32,182.0
412.68,187.0
413.04,182.0
413.4,161.0
413.75,187.0
414.11,188.0
414.47,189.0
414.83,196.0
415.19,187.0
415.54,186.0
415.9,195.0
416.26,189.0
416.62,203.0
416.97,181.0
417.33,193.0
417.69,204.0
418.05,197.0
418.4,196.0
418.76,208.0
419.12,216.0
419.48,206.0
419.83,220.0
420.19,202.0
420.55,203.0
420.9,221.0
421.26,209.0
421.62,211.0
421.98,218.0
422.33,229.0
422.69,226.0
423.05,235.0
423.4,220.0
423.76,211.0
424.12,229.0
424.47,232.0
424.83,231.0
425.19,232.0
425.54,228.0
425.9,234.0
426.26,243.0
426.61,253.0
426.97,222.0
427.33,239.0
427.68,250.0
428.04,256.0
428.4,279.0
428.75,269.0
429.11,252.0
429.47,284.0
429.82,275.0
430.18,276.0
430.53,265.0
430.89,265.0
431.25,273.0
431.6,285.0
431.96,279.0
432.31,286.0
432.67,293.0
433.03,297.0
433.38,291.0
433.74,309.0
434.09,288.0
434.45,273.0
434.81,284.0
435.16,303.0
435.52,289.0
435.87,270.0
436.23,284.0
436.58,287.0
436.94,308.0
437.3,309.0
437.65,318.0
438.01,310.0
438.36,314.0
438.72,320.0
439.07,314.0
439.43,313.0
439.78,331.0
440.14,350.0
440.49,321.0
440.85,326.0
441.2,341.0
441.56,323.0
441.91,356.0
442.27,336.0
442.62,332.0
442.98,352.0
443.33,341.0
443.69,348.0
444.04,341.0
444.4,321.0
444.75,370.0
445.11,363.0
445.46,371.0
445.82,365.0
446.17,356.0
446.53,374.0
446.88,404.0
447.23,356.0
447.59,354.0
447.94,354.0
448.3,374.0
448.65,363.0
449.01,389.0
449.36,399.0
449.72,426.0
450.07,429.0
450.42,424.0
450.78,399.0
451.13,414.0
451.49,400.0
451.84,393.0
452.19,401.0
452.55,411.0
452.9,424.0
453.26,451.0
453.61,467.0
453.96,395.0
454.32,446.0
454.67,453.0
455.02,419.0
455.38,439.0
455.73,429.0
456.09,473.0
456.44,480.0
456.79,472.0
457.15,463.0
457.5,443.0
457.85,467.0
458.21,446.0
458.56,490.0
458.91,472.0
459.27,455.0
459.62,450.0
459.97,462.0
460.32,480.0
460.68,486.0
461.03,482.0
461.38,495.0
461.74,547.0
462.09,523.0
462.44,505.0
462.8,502.0
463.15,494.0
463.5,509.0
463.85,551.0
464.21,522.0
464.56,551.0
464.91,515.0
465.26,528.0
465.62,527.0
465.97,555.0
466.32,562.0
466.67,573.0
467.03,579.0
467.38,575.0
467.73,589.0
468.08,603.0
468.44,600.0
468.79,613.0
469.14,586.0
469.49,606.0
469.85,631.0
470.2,685.0
470.55,684.0
470.9,673.0
471.25,665.0
471.61,674.0
471.96,682.0
472.31,703.0
472.66,694.0
473.01,725.0
473.36,748.0
473.72,728.0
474.07,765.0
474.42,771.0
474.77,772.0
475.12,790.0
475.47,822.0
475.83,817.0
476.18,822.0
476.53,812.0
476.88,851.0
477.23,856.0
477.58,854.0
477.93,883.0
478.28,867.0
478.64,901.0
478.99,923.0
479.34,934.0
479.69,939.0
480.04,954.0
480.39,958.0
480.74,953.0
481.09,1014.0
481.44,1000.0
481.79,1000.0
482.15,1015.0
482.5,1047.0
482.85,1063.0
483.2,1070.0
483.55,1083.0
483.9,1102.0
484.25,1074.0
484.6,1083.0
484.95,1123.0
485.3,1154.0
485.65,1131.0
486.0,1173.0
486.35,1131.0
486.7,1166.0
487.05,1217.0
487.4,1189.0
487.75,1200.0
488.1,1222.0
488.45,1196.0
488.8,1215.0
489.15,1255.0
489.5,1265.0
489.85,1271.0
490.2,1255.0
490.55,1279.0
490.9,1293.0
491.25,1297.0
491.6,1293.0
491.95,1318.0
492.3,1328.0
492.65,1323.0
493.0,1308.0
493.35,1324.0
493.7,1358.0
494.05,1349.0
494.4,1383.0
494.75,1366.0
495.1,1371.0
495.45,1394.0
495.8,1395.0
496.15,1417.0
496.5,1426.0
496.84,1418.0
497.19,1405.0
497.54,1431.0
497.89,1431.0
498.24,1416.0
498.59,1465.0
498.94,1442.0
499.29,1466.0
499.64,1473.0
499.99,1474.0
500.33,1487.0
500.68,1490.0
501.03,1505.0
501.38,1508.0
501.73,1525.0
502.08,1522.0
502.43,1536.0
502.77,1544.0
503.12,1540.0
503.47,1554.0
503.82,1562.0
504.17,1585.0
504.52,1578.0
504.86,1577.0
505.21,1603.0
505.56,1609.0
505.91,1631.0
506.26,1621.0
506.61,1647.0
506.95,1634.0
507.3,1641.0
507.65,1671.0
508.0,1667.0
508.35,1683.0
508.69,1682.0
509.04,1713.0
509.39,1687.0
509.74,1722.0
510.08,1730.0
510.43,1757.0
510.78,1747.0
511.13,1749.0
511.47,1757.0
511.82,1767.0
512.17,1748.0
512.52,1797.0
512.86,1799.0
513.21,1818.0
513.56,1807.0
513.91,1831.0
514.25,1832.0
514.6,1860.0
514.95,1865.0
515.3,1855.0
515.64,1859.0
515.99,1899.0
516.34,1887.0
516.68,1909.0
517.03,1904.0
517.38,1928.0
517.72,1949.0
518.07,1941.0
518.42,1940.0
518.76,1959.0
519.11,1965.0
519.46,2001.0
519.8,1972.0
520.15,1979.0
520.5,2005.0
520.84,2035.0
521.19,2035.0
521.54,2036.0
521.88,2025.0
522.23,2070.0
522.58,2073.0
522.92,2061.0
523.27,2087.0
523.61,2062.0
523.96,2075.0
524.31,2121.0
524.65,2116.0
525.0,2111.0
525.34,2099.0
525.69,2115.0
526.04,2146.0
526.38,2140.0
526.73,2149.0
527.07,2172.0
527.42,2173.0
527.76,2186.0
528.11,2191.0
528.46,2173.0
528.8,2181.0
529.15,2182.0
529.49,2179.0
529.84,2179.0
530.18,2190.0
530.53,2229.0
530.87,2224.0
531.22,2229.0
531.56,2193.0
531.91,2221.0
532.25,2234.0
532.6,2245.0
532.94,2233.0
533.29,2234.0
533.63,2242.0
533.98,2227.0
534.32,2251.0
534.67,2285.0
535.01,2270.0
535.36,2276.0
535.7,2293.0
536.05,2311.0
536.39,2305.0
536.74,2288.0
537.08,2266.0
537.43,2284.0
537.77,2300.0
538.12,2326.0
538.46,2334.0
538.8,2333.0
539.15,2307.0
539.49,2317.0
539.84,2336.0
540.18,2343.0
540.53,2345.0
540.87,2352.0
541.21,2361.0
541.56,2358.0
541.9,2388.0
542.25,2353.0
542.59,2341.0
542.93,2384.0
543.28,2385.0
543.62,2371.0
543.97,2382.0
544.31,2410.0
544.65,2420.0
545.0,2431.0
545.34,2423.0
545.68,2431.0
546.03,2416.0
546.37,2441.0
546.71,2468.0
547.06,2451.0
547.4,2470.0
547.74,2501.0
548.09,2487.0
548.43,2490.0
548.77,2515.0
549.12,2477.0
549.46,2489.0
549.8,2509.0
550.15,2521.0
550.49,2504.0
550.83,2539.0
551.17,2512.0
551.52,2525.0
551.86,2540.0
552.2,2574.0
552.55,2568.0
552.89,2585.0
553.23,2585.0
553.57,2601.0
553.92,2590.0
554.26,2633.0
554.6,2595.0
554.94,2621.0
555.29,2635.0
555.63,2661.0
555.97,2649.0
556.31,2649.0
556.66,2657.0
557.0,2650.0
557.34,2663.0
557.68,2681.0
558.02,2686.0
558.37,2679.0
558.71,2705.0
559.05,2710.0
559.39,2713.0
559.73,2730.0
560.08,2735.0
560.42,2723.0
560.76,2701.0
561.1,2724.0
561.44,2717.0
561.78,2736.0
562.13,2783.0
562.47,2755.0
562.81,2767.0
563.15,2782.0
563.49,2775.0
563.83,2807.0
564.17,2812.0
564.52,2796.0
564.86,2805.0
565.2,2800.0
565.54,2805.0
565.88,2831.0
566.22,2837.0
566.56,2822.0
566.9,2838.0
567.24,2840.0
567.59,2830.0
567.93,2824.0
568.27,2867.0
568.61,2869.0
568.95,2842.0
569.29,2840.0
569.63,2884.0
569.97,2879.0
570.31,2849.0
570.65,2874.0
570.99,2881.0
571.33,2891.0
571.67,2875.0
572.01,2888.0
572.35,2876.0
572.69,2891.0
573.03,2906.0
573.37,2888.0
573.71,2892.0
