Wavelength,Intensity
350.25,64.85
350.61,64.6
350.97,65.15
351.34,64.3
351.7,64.8
352.07,64.95
352.43,64.3
352.79,64.15
353.16,64.35
353.52,65.25
353.88,64.5
354.25,64.8
354.61,64.7
354.97,64.9
355.34,64.8
355.7,64.45
356.06,65.5
356.43,65.65
356.79,65.75
357.15,64.65
357.52,64.65
357.88,64.9
358.24,64.45
358.6,64.55
358.97,65.3
359.33,64.85
359.69,65.05
360.06,65.2
360.42,66.55
360.78,65.25
361.14,64.2
361.51,66.7
361.87,65.6
362.23,66.85
362.6,65.9
362.96,66.5
363.32,64.8
363.68,66.2
364.05,66.5
364.41,66.3
364.77,65.4
365.13,65.85
365.5,65.9
365.86,66.25
366.22,66.55
366.58,66.0
366.95,66.4
367.31,66.3
367.67,66.05
368.03,66.55
368.39,65.95
368.76,66.1
369.12,66.75
369.48,65.1
369.84,66.75
370.2,67.7
370.57,67.3
370.93,66.2
371.29,67.15
371.65,67.3
372.01,66.6
372.38,66.2
372.74,67.05
373.1,66.5
373.46,67.65
373.82,67.55
374.18,65.7
374.55,66.5
374.91,68.05
375.27,67.25
375.63,67.4
375.99,66.85
376.35,67.75
376.71,68.15
377.08,67.1
377.44,66.0
377.8,67.15
378.16,67.9
378.52,67.7
378.88,68.5
379.24,67.05
379.6,67.95
379.97,69.2
380.33,68.6
380.69,67.4
381.05,67.4
381.41,68.1
381.77,69.35
382.13,69.3
382.49,69.25
382.85,69.35
383.21,68.65
383.57,69.85
383.94,70.2
384.3,69.7
384.66,68.85
385.02,69.25
385.38,70.4
385.74,69.55
386.1,69.65
386.46,70.2
386.82,70.25
387.18,70.0
387.54,69.75
387.9,70.25
388.26,70.15
388.62,71.55
388.98,70.85
389.34,71.1
389.7,70.35
390.06,70.15
390.42,71.45
390.78,70.75
391.14,71.55
391.5,71.15
391.86,71.7
392.22,72.15
392.58,71.1
392.94,70.6
393.3,70.65
393.66,71.1
394.02,72.55
394.38,71.7
394.74,72.85
395.1,72.45
395.46,73.8
395.82,72.4
396.18,72.15
396.54,73.45
396.9,73.85
397.26,74.35
397.62,74.6
397.98,74.55
398.34,72.8
398.7,74.25
399.05,72.85
399.41,73.3
399.77,74.15
400.13,75.2
400.49,74.45
400.85,75.4
401.21,73.45
401.57,75.25
401.93,75.3
402.29,75.6
402.65,76.25
403.0,77.3
403.36,76.75
403.72,75.9
404.08,77.5
404.44,74.75
404.8,76.5
405.16,77.7
405.52,77.45
405.87,77.8
406.23,79.2
406.59,76.85
406.95,77.4
407.31,77.95
407.67,77.0
408.03,77.5
408.38,79.35
408.74,79.0
409.1,79.55
409.46,77.5
409.82,80.05
410.17,79.8
410.53,78.85
410.89,79.75
411.25,78.6
411.61,79.25
411.97,81.25
412.32,80.85
412.68,80.55
413.04,79.8
413.4,77.55
413.75,79.6
414.11,81.5
414.47,81.0
414.83,82.85
415.19,80.9
415.54,81.0
415.9,82.85
416.26,82.25
416.62,82.1
416.97,81.8
417.33,83.55
417.69,83.3
418.05,82.9
418.4,82.25
418.76,82.9
419.12,84.4
419.48,83.4
419.83,85.75
420.19,83.55
420.55,84.15
420.9,85.3
421.26,84.7
421.62,84.55
421.98,86.75
422.33,85.75
