Wavelength,Intensity
350.25,64.0
350.61,63.0
350.97,61.0
351.34,56.0
351.7,61.0
352.07,61.0
352.43,65.0
352.79,59.0
353.16,64.0
353.52,65.0
353.88,65.0
354.25,62.0
354.61,61.0
354.97,64.0
355.34,63.0
355.7,55.0
356.06,60.0
356.43,61.0
356.79,68.0
357.15,64.0
357.52,63.0
357.88,60.0
358.24,64.0
358.6,59.0
358.97,63.0
359.33,59.0
359.69,63.0
360.06,64.0
360.42,61.0
360.78,63.0
361.14,59.0
361.51,64.0
361.87,65.0
362.23,63.0
362.6,64.0
362.96,63.0
363.32,67.0
363.68,65.0
364.05,65.0
364.41,63.0
364.77,62.0
365.13,64.0
365.5,59.0
365.86,66.0
366.22,66.0
366.58,67.0
366.95,60.0
367.31,63.0
367.67,63.0
368.03,63.0
368.39,63.0
368.76,59.0
369.12,63.0
369.48,57.0
369.84,64.0
370.2,64.0
370.57,61.0
370.93,67.0
371.29,66.0
371.65,69.0
372.01,63.0
372.38,66.0
372.74,66.0
373.1,64.0
373.46,67.0
373.82,61.0
374.18,63.0
374.55,62.0
374.91,63.0
375.27,65.0
375.63,62.0
375.99,66.0
376.35,62.0
376.71,60.0
377.08,64.0
377.44,67.0
377.8,67.0
378.16,66.0
378.52,62.0
378.88,65.0
379.24,64.0
379.6,66.0
379.97,61.0
380.33,66.0
380.69,65.0
381.05,65.0
381.41,60.0
381.77,66.0
382.13,65.0
382.49,61.0
382.85,65.0
383.21,65.0
383.57,62.0
383.94,65.0
384.3,67.0
384.66,66.0
385.02,61.0
385.38,64.0
385.74,65.0
386.1,66.0
386.46,67.0
386.82,67.0
387.18,63.0
387.54,67.0
387.9,67.0
388.26,67.0
388.62,65.0
388.98,64.0
389.34,64.0
389.7,67.0
390.06,63.0
390.42,65.0
390.78,70.0
391.14,65.0
391.5,68.0
391.86,72.0
392.22,66.0
392.58,63.0
392.94,67.0
393.3,67.0
393.66,70.0
394.02,63.0
394.38,60.0
394.74,69.0
395.1,70.0
395.46,70.0
395.82,63.0
396.18,68.0
396.54,65.0
396.9,63.0
397.26,69.0
397.62,70.0
397.98,75.0
398.34,70.0
398.7,66.0
399.05,68.0
399.41,67.0
399.77,72.0
400.13,63.0
400.49,68.0
400.85,74.0
401.21,68.0
401.57,67.0
401.93,68.0
402.29,65.0
402.65,71.0
403.0,72.0
403.36,67.0
403.72,71.0
404.08,71.0
404.44,71.0
404.8,70.0
405.16,70.0
405.52,69.0
405.87,70.0
406.23,76.0
406.59,69.0
406.95,70.0
407.31,69.0
407.67,74.0
408.03,74.0
408.38,66.0
408.74,65.0
409.1,77.0
409.46,72.0
409.82,71.0
410.17,74.0
410.53,67.0
410.89,73.0
411.25,70.0
411.61,74.0
411.97,69.0
412.32,69.0
412.68,77.0
413.04,76.0
413.4,73.0
413.75,78.0
414.11,72.0
414.47,78.0
414.83,71.0
415.19,71.0
415.54,74.0
415.9,72.0
416.26,77.0
416.62,76.0
416.97,71.0
417.33,76.0
417.69,75.0
418.05,75.0
418.4,75.0
418.76,74.0
419.12,73.0
419.48,75.0
419.83,79.0
420.19,78.0
420.55,75.0
420.9,71.0
421.26,69.0
421.62,73.0
421.98,76.0
422.33,72.0
422.69,79.0
423.05,77.0
423.4,81.0
423.76,75.0
424.12,75.0
424.47,79.0
424.83,74.0
425.19,82.0
425.54,76.0
425.9,79.0
426.26,74.0
426.61,79.0
426.97,74.0
427.33,76.0
427.68,74.0
428.04,74.0
428.4,82.0
428.75,81.0
429.11,81.0
429.47,80.0
429.82,78.0
430.18,81.0
430.53,79.0
430.89,80.0
431.25,84.0
431.6,76.0
431.96,83.0
432.31,82.0
432.67,83.0
433.03,87.0
433.38,82.0
433.74,85.0
434.09,86.0
434.45,83.0
434.81,80.0
435.16,84.0
435.52,82.0
435.87,80.0
436.23,79.0
436.58,81.0
436.94,84.0
437.3,83.0
437.65,84.0
438.01,87.0
438.36,75.0
438.72,86.0
439.07,84.0
439.43,82.0
439.78,91.0
440.14,87.0
440.49,86.0
440.85,81.0
441.2,87.0
441.56,85.0
441.91,86.0
442.27,85.0
442.62,89.0
442.98,86.0
443.33,91.0
443.69,93.0
444.04,89.0
444.4,85.0
444.75,92.0
445.11,87.0
445.46,94.0
445.82,86.0
446.17,87.0
446.53,86.0
446.88,92.0
447.23,89.0
447.59,86.0
447.94,85.0
448.3,88.0
448.65,92.0
449.01,91.0
449.36,92.0
449.72,95.0
450.07,95.0
450.42,93.0
450.78,94.0
451.13,95.0
451.49,93.0
451.84,95.0
452.19,90.0
452.55,102.0
452.9,95.0
453.26,95.0
453.61,95.0
453.96,93.0
454.32,105.0
454.67,95.0
455.02,93.0
455.38,91.0
455.73,98.0
456.09,99.0
456.44,99.0
456.79,99.0
457.15,95.0
457.5,97.0
457.85,98.0
458.21,98.0
458.56,99.0
458.91,101.0
459.27,95.0
459.62,99.0
459.97,96.0
460.32,99.0
460.68,105.0
461.03,104.0
461.38,106.0
461.74,106.0
462.09,99.0
462.44,99.0
462.8,99.0
463.15,99.0
463.5,98.0
463.85,102.0
464.21,100.0
464.56,108.0
464.91,98.0
465.26,111.0
465.62,104.0
465.97,110.0
466.32,111.0
466.67,106.0
467.03,104.0
467.38,109.0
467.73,107.0
468.08,107.0
468.44,110.0
468.79,105.0
469.14,107.0
469.49,110.0
469.85,109.0
470.2,113.0
470.55,115.0
470.9,117.0
471.25,115.0
471.61,119.0
471.96,121.0
472.31,121.0
472.66,117.0
473.01,117.0
473.36,128.0
473.72,125.0
474.07,130.0
474.42,127.0
474.77,121.0
475.12,124.0
475.47,130.0
475.83,141.0
476.18,136.0
476.53,126.0
476.88,137.0
477.23,132.0
477.58,136.0
477.93,137.0
478.28,134.0
478.64,137.0
478.99,138.0
479.34,137.0
479.69,140.0
480.04,146.0
480.39,146.0
480.74,146.0
481.09,151.0
481.44,143.0
481.79,142.0
482.15,144.0
482.5,152.0
482.85,150.0
483.2,147.0
483.55,151.0
483.9,155.0
484.25,158.0
484.6,152.0
484.95,153.0
485.3,156.0
485.65,157.0
486.0,155.0
486.35,159.0
486.7,164.0
487.05,163.0
487.4,166.0
487.75,168.0
488.1,165.0
488.45,171.0
488.8,166.0
489.15,172.0
489.5,170.0
489.85,175.0
490.2,168.0
490.55,168.0
490.9,172.0
491.25,177.0
491.6,170.0
491.95,184.0
492.3,172.0
492.65,173.0
493.0,178.0
493.35,176.0
493.7,181.0
494.05,177.0
494.4,182.0
494.75,184.0
495.1,175.0
495.45,183.0
495.8,181.0
496.15,184.0
496.5,187.0
496.84,181.0
497.19,179.0
497.54,180.0
497.89,186.0
498.24,187.0
498.59,187.0
498.94,188.0
499.29,187.0
499.64,178.0
499.99,196.0
500.33,189.0
500.68,193.0
501.03,193.0
501.38,192.0
501.73,198.0
502.08,188.0
502.43,195.0
502.77,195.0
503.12,194.0
503.47,204.0
503.82,198.0
504.17,197.0
504.52,198.0
504.86,201.0
505.21,210.0
505.56,208.0
505.91,208.0
506.26,202.0
506.61,204.0
506.95,205.0
507.3,210.0
507.65,214.0
508.0,206.0
508.35,213.0
508.69,212.0
509.04,207.0
509.39,211.0
509.74,212.0
510.08,210.0
510.43,213.0
510.78,209.0
511.13,213.0
511.47,209.0
511.82,215.0
512.17,219.0
512.52,222.0
512.86,217.0
513.21,221.0
513.56,219.0
513.91,228.0
514.25,222.0
514.6,232.0
514.95,229.0
515.3,229.0
515.64,230.0
515.99,226.0
516.34,233.0
516.68,235.0
517.03,240.0
517.38,239.0
517.72,238.0
518.07,235.0
518.42,231.0
518.76,250.0
519.11,244.0
519.46,242.0
519.8,234.0
520.15,241.0
520.5,246.0
520.84,248.0
521.19,240.0
521.54,245.0
521.88,247.0
522.23,248.0
522.58,243.0
522.92,249.0
523.27,247.0
523.61,255.0
523.96,246.0
524.31,261.0
524.65,253.0
525.0,259.0
525.34,252.0
525.69,259.0
526.04,251.0
526.38,254.0
526.73,252.0
527.07,257.0
527.42,252.0
527.76,262.0
528.11,262.0
528.46,251.0
528.8,260.0
529.15,258.0
529.49,261.0
529.84,260.0
530.18,266.0
530.53,269.0
530.87,270.0
531.22,267.0
531.56,269.0
531.91,269.0
532.25,262.0
532.6,266.0
532.94,268.0
533.29,261.0
533.63,265.0
533.98,269.0
534.32,266.0
534.67,268.0
535.01,279.0
535.36,272.0
535.7,270.0
536.05,272.0
536.39,271.0
536.74,266.0
537.08,271.0
537.43,266.0
537.77,269.0
538.12,279.0
538.46,275.0
538.8,272.0
539.15,267.0
539.49,276.0
539.84,279.0
540.18,280.0
540.53,284.0
540.87,283.0
541.21,285.0
541.56,283.0
541.9,282.0
542.25,280.0
542.59,278.0
542.93,284.0
543.28,286.0
543.62,283.0
543.97,289.0
544.31,292.0
544.65,293.0
545.0,288.0
545.34,287.0
545.68,287.0
546.03,300.0
546.37,295.0
546.71,283.0
547.06,293.0
547.4,283.0
547.74,302.0
548.09,295.0
548.43,288.0
548.77,289.0
549.12,293.0
549.46,287.0
549.8,297.0
550.15,296.0
550.49,298.0
550.83,291.0
551.17,305.0
551.52,315.0
551.86,305.0
552.2,291.0
552.55,301.0
552.89,301.0
553.23,305.0
553.57,305.0
553.92,306.0
554.26,297.0
554.6,308.0
554.94,315.0
555.29,307.0
555.63,311.0
555.97,307.0
556.31,311.0
556.66,312.0
557.0,306.0
557.34,315.0
557.68,313.0
558.02,316.0
558.37,322.0
558.71,315.0
559.05,307.0
559.39,314.0
559.73,316.0
560.08,320.0
560.42,323.0
560.76,321.0
561.1,318.0
561.44,311.0
561.78,321.0
562.13,320.0
562.47,327.0
562.81,325.0
563.15,323.0
563.49,324.0
563.83,327.0
564.17,330.0
564.52,324.0
564.86,326.0
565.2,325.0
565.54,331.0
565.88,326.0
566.22,339.0
566.56,328.0
566.9,334.0
567.24,328.0
567.59,326.0
567.93,326.0
568.27,337.0
568.61,335.0
568.95,330.0
569.29,332.0
569.63,339.0
569.97,333.0
570.31,335.0
570.65,336.0
570.99,323.0
571.33,342.0
571.67,336.0
572.01,341.0
572.35,340.0
572.69,344.0
573.03,339.0
573.37,341.0
573.71,334.0
574.05,343.0
574.39,336.0
574.73,340.0
575.07,337.0
575.41,342.0
575.75,345.0
576.09,349.0
576.43,340.0
576.77,342.0
577.11,341.0
577.45,347.0
577.79,344.0
578.13,347.0
578.47,346.0
578.81,349.0
579.15,340.0
579.49,341.0
579.83,339.0
580.17,346.0
580.51,343.0
580.85,337.0
581.19,339.0
581.53,336.0
581.87,342.0
582.2,351.0
582.54,351.0
582.88,346.0
583.22,347.0
583.56,354.0
583.9,350.0
584.24,344.0
584.58,332.0
584.92,348.0
585.25,354.0
585.59,352.0
585.93,358.0
586.27,337.0
586.61,336.0
586.95,348.0
587.29,354.0
587.62,349.0
587.96,345.0
588.3,355.0
588.64,351.0
588.98,351.0
589.31,354.0
589.65,351.0
589.99,347.0
590.33,342.0
590.67,347.0
591.01,349.0
591.34,349.0
591.68,350.0
592.02,346.0
592.36,355.0
592.69,351.0
593.03,350.0
593.37,360.0
593.71,355.0
594.04,356.0
594.38,345.0
594.72,368.0
595.06,354.0
595.39,349.0
595.73,355.0
596.07,360.0
596.41,357.0
596.74,361.0
597.08,367.0
597.42,357.0
597.76,363.0
598.09,359.0
598.43,362.0
598.77,366.0
599.1,365.0
599.44,369.0
599.78,357.0
600.11,362.0
600.45,371.0
600.79,356.0
601.12,361.0
601.46,368.0
601.8,363.0
602.13,363.0
602.47,363.0
602.81,371.0
603.14,369.0
603.48,376.0
603.82,367.0
604.15,362.0
604.49,364.0
604.82,367.0
605.16,358.0
605.5,357.0
605.83,366.0
606.17,370.0
606.5,365.0
606.84,370.0
607.18,369.0
607.51,368.0
607.85,372.0
608.18,381.0
608.52,370.0
608.86,368.0
609.19,373.0
609.53,361.0
609.86,372.0
610.2,374.0
610.53,376.0
610.87,374.0
611.2,371.0
611.54,367.0
611.87,375.0
612.21,380.0
612.54,367.0
612.88,367.0
613.21,383.0
613.55,373.0
613.88,369.0
614.22,368.0
614.55,375.0
614.89,372.0
615.22,378.0
615.56,371.0
615.89,377.0
616.23,383.0
616.56,377.0
616.9,373.0
617.23,363.0
617.57,376.0
617.9,377.0
618.24,377.0
618.57,369.0
618.9,370.0
619.24,370.0
619.57,374.0
619.91,380.0
620.24,371.0
620.58,377.0
620.91,374.0
621.24,385.0
621.58,385.0
621.91,381.0
622.25,378.0
622.58,374.0
622.91,375.0
623.25,371.0
623.58,372.0
623.91,367.0
624.25,374.0
624.58,372.0
624.92,373.0
625.25,383.0
625.58,370.0
625.92,372.0
626.25,374.0
626.58,367.0
626.92,368.0
627.25,376.0
627.58,367.0
627.91,383.0
628.25,368.0
628.58,371.0
628.91,370.0
629.25,374.0
629.58,376.0
629.91,374.0
630.25,367.0
630.58,379.0
630.91,372.0
631.24,376.0
631.58,371.0
631.91,383.0
632.24,380.0
632.57,374.0
632.91,368.0
633.24,375.0
633.57,371.0
633.9,374.0
634.24,378.0
634.57,362.0
634.9,380.0
635.23,368.0
635.56,371.0
635.9,382.0
636.23,375.0
636.56,377.0
636.89,365.0
637.22,374.0
637.56,372.0
637.89,375.0
638.22,373.0
638.55,376.0
638.88,365.0
639.21,369.0
639.55,376.0
639.88,372.0
640.21,367.0
640.54,375.0
640.87,368.0
641.2,369.0
641.53,364.0
641.87,367.0
642.2,373.0
642.53,363.0
642.86,375.0
643.19,364.0
643.52,373.0
643.85,369.0
644.18,376.0
644.51,374.0
644.84,374.0
645.18,374.0
645.51,377.0
645.84,368.0
646.17,375.0
646.5,366.0
646.83,371.0
647.16,378.0
647.49,367.0
647.82,363.0
648.15,377.0
648.48,364.0
648.81,362.0
649.14,365.0
649.47,366.0
649.8,375.0
650.13,368.0
650.46,373.0
650.79,373.0
651.12,370.0
651.45,369.0
651.78,358.0
652.11,371.0
652.44,369.0
652.77,370.0
653.1,366.0
653.43,363.0
653.76,367.0
654.09,365.0
654.42,363.0
654.75,373.0
655.08,363.0
655.41,372.0
655.74,372.0
656.07,371.0
656.39,372.0
656.72,370.0
657.05,374.0
657.38,365.0
657.71,374.0
658.04,357.0
658.37,366.0
658.7,371.0
659.03,368.0
659.36,363.0
659.68,371.0
660.01,365.0
660.34,365.0
660.67,366.0
661.0,365.0
661.33,361.0
661.66,363.0
661.98,371.0
662.31,365.0
662.64,379.0
662.97,364.0
663.3,358.0
663.63,364.0
663.95,363.0
664.28,365.0
664.61,368.0
664.94,367.0
665.27,373.0
665.59,369.0
665.92,351.0
666.25,352.0
666.58,354.0
666.91,364.0
667.23,357.0
667.56,355.0
667.89,355.0
668.22,352.0
668.54,358.0
668.87,361.0
669.2,360.0
669.53,361.0
669.85,364.0
670.18,353.0
670.51,348.0
670.83,355.0
671.16,355.0
671.49,357.0
671.82,358.0
672.14,361.0
672.47,355.0
672.8,361.0
673.12,353.0
673.45,354.0
673.78,351.0
674.1,362.0
674.43,369.0
674.76,357.0
675.08,347.0
675.41,355.0
675.74,353.0
676.06,355.0
676.39,354.0
676.72,359.0
677.04,355.0
677.37,359.0
677.69,356.0
678.02,352.0
678.35,348.0
678.67,342.0
679.0,354.0
679.32,351.0
679.65,345.0
679.98,351.0
680.3,346.0
680.63,351.0
680.95,331.0
681.28,350.0
681.6,336.0
681.93,347.0
682.26,347.0
682.58,347.0
682.91,338.0
683.23,350.0
683.56,336.0
683.88,341.0
684.21,342.0
684.53,333.0
684.86,337.0
685.18,333.0
685.51,332.0
685.83,340.0
686.16,339.0
686.48,331.0
686.81,328.0
687.13,332.0
687.46,337.0
687.78,336.0
688.11,333.0
688.43,328.0
688.76,341.0
689.08,333.0
689.41,335.0
689.73,335.0
690.05,337.0
690.38,332.0
690.7,328.0
691.03,329.0
691.35,331.0
691.68,318.0
692.0,326.0
692.32,330.0
692.65,336.0
692.97,325.0
693.29,332.0
693.62,328.0
693.94,334.0
694.27,323.0
694.59,321.0
