Wavelength,Intensity
350.25,67.4
350.61,67.65
350.97,65.9
351.34,66.75
351.7,67.0
352.07,66.1
352.43,67.0
352.79,68.6
353.16,66.95
353.52,65.85
353.88,67.7
354.25,68.15
354.61,67.25
354.97,67.75
355.34,66.9
355.7,67.65
356.06,67.4
356.43,67.5
356.79,66.7
357.15,67.8
357.52,67.0
357.88,65.65
358.24,66.0
358.6,67.0
358.97,68.1
359.33,67.45
359.69,68.05
360.06,68.75
360.42,67.85
360.78,67.35
361.14,67.05
361.51,68.65
361.87,68.4
362.23,68.0
362.6,68.5
362.96,68.95
363.32,68.65
363.68,67.55
364.05,66.85
364.41,67.4
364.77,67.65
365.13,67.95
365.5,68.8
365.86,68.4
366.22,68.75
366.58,69.5
366.95,68.95
367.31,68.6
367.67,68.9
368.03,68.0
368.39,69.5
368.76,69.25
369.12,69.15
369.48,69.15
369.84,69.9
370.2,69.55
370.57,70.45
370.93,70.4
371.29,70.45
371.65,71.15
372.01,71.65
372.38,73.15
372.74,70.65
373.1,71.25
373.46,71.3
373.82,71.55
374.18,71.45
374.55,71.3
374.91,71.05
375.27,72.35
375.63,73.35
375.99,72.95
376.35,72.55
376.71,73.45
377.08,73.55
377.44,73.8
377.8,73.95
378.16,72.9
378.52,74.85
378.88,74.85
379.24,74.15
379.6,74.8
379.97,75.85
380.33,76.4
380.69,76.4
381.05,77.1
381.41,77.4
381.77,76.4
382.13,77.25
382.49,78.15
382.85,78.3
383.21,79.65
383.57,77.45
383.94,80.1
384.3,80.75
384.66,81.5
385.02,80.9
385.38,82.0
385.74,81.1
386.1,83.95
386.46,85.15
386.82,84.85
387.18,84.2
387.54,84.2
387.9,85.15
388.26,85.55
388.62,86.25
388.98,85.9
389.34,87.55
389.7,88.4
390.06,86.3
390.42,88.8
390.78,89.7
391.14,90.5
391.5,90.4
391.86,92.9
392.22,93.5
392.58,93.0
392.94,91.9
393.3,92.9
393.66,93.45
394.02,95.2
394.38,93.95
394.74,95.45
395.1,94.45
395.46,99.1
395.82,98.2
396.18,98.65
396.54,101.05
396.9,104.25
397.26,102.95
397.62,103.3
397.98,106.9
398.34,103.65
398.7,105.1
399.05,103.15
399.41,104.0
399.77,107.05
400.13,110.05
400.49,110.9
400.85,113.75
401.21,109.25
401.57,115.55
401.93,114.75
402.29,113.95
402.65,117.35
403.0,117.55
403.36,120.9
403.72,119.65
404.08,126.1
404.44,120.75
404.8,123.4
405.16,126.55
