Wavelength,Intensity
350.25,67.05
350.61,67.5
350.97,66.95
351.34,67.25
351.7,67.0
352.07,67.35
352.43,66.85
352.79,67.25
353.16,67.25
353.52,67.05
353.88,67.3
354.25,68.15
354.61,67.2
354.97,66.05
355.34,66.95
355.7,69.3
356.06,67.05
356.43,67.95
356.79,67.65
357.15,67.85
357.52,67.25
357.88,67.8
358.24,67.3
358.6,67.2
358.97,66.9
359.33,67.9
359.69,68.15
360.06,68.15
360.42,67.8
360.78,67.3
361.14,66.8
361.51,67.25
361.87,68.4
362.23,66.95
362.6,67.4
362.96,67.3
363.32,68.35
363.68,68.35
364.05,67.55
364.41,68.05
364.77,67.4
365.13,67.4
365.5,67.15
365.86,68.25
366.22,67.35
366.58,68.45
366.95,68.35
367.31,69.4
367.67,67.8
368.03,68.65
368.39,68.3
368.76,68.1
369.12,67.7
369.48,66.55
369.84,68.4
370.2,68.8
370.57,67.55
370.93,69.3
371.29,68.35
371.65,68.95
372.01,68.45
372.38,68.6
372.74,68.35
373.1,69.7
373.46,69.6
373.82,68.7
374.18,70.1
374.55,68.8
374.91,69.25
375.27,69.2
375.63,70.4
375.99,70.1
376.35,69.35
376.71,69.55
377.08,70.8
377.44,71.2
377.8,70.0
378.16,71.2
378.52,70.85
378.88,72.05
379.24,71.6
379.6,72.25
379.97,73.5
380.33,73.1
380.69,74.15
381.05,74.9
381.41,75.05
381.77,75.2
382.13,77.5
382.49,77.75
382.85,77.1
383.21,79.1
383.57,78.1
383.94,81.1
384.3,81.05
384.66,83.8
385.02,82.25
385.38,82.5
385.74,83.45
386.1,84.65
386.46,85.85
386.82,87.25
387.18,87.65
387.54,89.05
387.9,88.7
388.26,91.0
388.62,92.5
388.98,91.1
389.34,93.25
389.7,93.3
390.06,92.3
390.42,94.15
390.78,97.9
391.14,98.2
391.5,97.45
391.86,99.5
392.22,101.65
392.58,100.35
392.94,97.05
393.3,100.95
393.66,103.2
394.02,105.0
394.38,101.8
394.74,105.3
395.1,103.85
395.46,107.65
395.82,106.45
396.18,106.85
396.54,111.2
396.9,113.65
397.26,111.7
397.62,112.1
397.98,116.25
398.34,112.3
398.7,114.55
399.05,111.8
399.41,112.4
399.77,115.45
400.13,119.25
400.49,120.95
400.85,123.0
401.21,118.4
401.57,125.85
401.93,124.65
402.29,123.35
402.65,124.5
403.0,128.35
403.36,130.95
403.72,128.1
404.08,136.5
404.44,129.3
404.8,132.9
405.16,136.4
405.52,140.2
405.87,140.85
406.23,142.6
406.59,135.65
406.95,136.55
407.31,139.8
407.67,141.3
408.03,141.8
408.38,147.15
408.74,152.55
409.1,153.15
409.46,147.65
409.82,153.15
410.17,150.5
410.53,147.25
410.89,154.65
411.25,144.45
411.61,152.35
411.97,161.55
412.32,157.45
412.68,162.45
413.04,159.0
413.4,146.35
413.75,156.8
414.11,163.55
414.47,162.6
414.83,170.35
415.19,167.35
415.54,159.7
415.9,167.8
416.26,167.95
416.62,173.8
416.97,164.85
417.33,174.6
417.69,175.15
418.05,174.5
418.4,167.8
418.76,176.8
419.12,185.15
419.48,180.65
419.83,191.55
420.19,172.8
420.55,176.9
420.9,194.55
421.26,185.95
421.62,183.8
421.98,194.8
422.33,199.3
422.69,202.8
423.05,207.9
423.4,188.95
423.76,185.55
424.12,202.5
424.47,203.2
424.83,203.6
425.19,203.9
425.54,199.4
425.9,209.25
426.26,218.2
426.61,220.45
426.97,194.15
427.33,216.3
427.68,217.45
428.04,226.7
428.4,238.7
428.75,243.75
429.11,224.5
429.47,244.8
429.82,242.1
430.18,243.95
430.53,235.55
430.89,235.95
431.25,243.4
431.6,249.05
431.96,246.3
432.31,241.7
432.67,256.3
433.03,261.7
433.38,253.5
433.74,261.3
434.09,258.5
434.45,249.4
434.81,249.55
435.16,266.15
435.52,252.4
435.87,242.7
436.23,249.55
436.58,253.15
436.94,270.05
437.3,268.55
437.65,283.5
438.01,272.55
438.36,280.55
438.72,279.7
439.07,271.75
439.43,276.1
439.78,294.9
440.14,305.95
440.49,282.75
440.85,282.75
441.2,297.95
441.56,290.95
441.91,317.25
442.27,298.3
442.62,296.65
442.98,305.7
443.33,301.3
443.69,304.0
444.04,300.75
444.4,291.55
444.75,319.05
445.11,318.15
445.46,328.4
445.82,326.4
446.17,308.4
446.53,328.7
446.88,358.7
447.23,307.6
447.59,310.95
447.94,306.85
448.3,333.7
448.65,325.95
449.01,343.7
449.36,341.0
449.72,369.6
450.07,380.3
450.42,371.05
450.78,354.15
451.13,370.75
451.49,355.85
451.84,347.0
452.19,352.85
452.55,374.8
452.9,373.8
453.26,395.5
453.61,410.8
453.96,354.35
454.32,392.2
454.67,394.8
455.02,370.65
455.38,384.25
455.73,383.4
456.09,412.6
456.44,412.3
456.79,408.15
457.15,409.85
457.5,389.3
457.85,407.3
458.21,400.05
458.56,421.65
458.91,413.5
459.27,393.8
459.62,406.45
